ITEM: TIMESTEP
300000
ITEM: NUMBER OF ATOMS
3684
ITEM: BOX BOUNDS pp ff pp
0.0000000000000000e+00 2.8000000000000000e+01
-5.0000000000000000e+00 2.7000000000000000e+01
-1.0000000000000000e+00 1.0000000000000000e+00
ITEM: ATOMS id x y vx vy diameter 
141 17.2894 10.3811 0.545281 -0.0100883 0.46 
142 3.39819 9.59657 0.545716 0.013414 0.46 
143 22.4753 18.7492 0.422761 -0.0209706 0.46 
144 3.55203 15.8425 0.520139 -0.00387063 0.46 
145 6.98315 21.819 0.216801 -0.00930638 0.46 
146 14.2006 18.748 0.51577 0.0533147 0.46 
147 27.3355 10.2808 0.556329 0.0261583 0.46 
148 8.42764 14.204 0.532438 0.00687262 0.46 
149 13.9899 2.26284 0.502972 0.0296978 0.46 
150 20.9889 7.53219 0.557756 0.00307011 0.46 
151 1.90392 2.37579 0.500706 0.0521354 0.46 
152 15.0718 8.03888 0.552931 -0.0121637 0.46 
153 14.1991 5.70911 0.568006 -0.00637503 0.46 
154 26.7757 17.23 0.510906 0.0803331 0.46 
155 21.6122 17.0383 0.546876 -0.0253664 0.46 
156 27.94 5.78374 0.527045 0.0337672 0.46 
157 18.183 4.7163 0.503369 0.0355451 0.46 
158 20.2856 0.182835 0.207521 -0.00394748 0.46 
159 5.3559 9.63416 0.542875 0.0104402 0.46 
160 8.07313 8.45827 0.544248 -0.00807128 0.46 
161 11.357 21.4871 0.227247 0.0254859 0.46 
162 18.6363 10.896 0.55133 -0.00111213 0.46 
163 13.5498 5.29 0.564489 0.00329989 0.46 
164 10.1253 10.4246 0.553199 -0.00477246 0.46 
165 6.80714 15.2829 0.519586 0.03188 0.46 
166 15.5138 5.01459 0.564026 -0.0153441 0.46 
167 3.46583 14.6766 0.532856 0.00949537 0.46 
168 25.0648 4.62452 0.522787 0.0267538 0.46 
169 4.81331 3.88327 0.513399 0.0132309 0.46 
170 13.7935 1.09944 0.376524 0.0209667 0.46 
171 14.066 21.0665 0.297147 0.0377315 0.46 
172 0.0778001 21.0443 0.252325 0.0290972 0.46 
173 4.50076 16.7607 0.516674 -0.0130902 0.46 
174 17.4991 9.25229 0.546561 -0.00364805 0.46 
175 6.01116 1.72435 0.520213 -0.0250278 0.46 
176 15.5173 10.3206 0.543473 -0.0107177 0.46 
177 0.431753 16.041 0.511304 0.0218255 0.46 
178 20.5977 8.55883 0.55305 0.0128756 0.46 
179 14.4149 6.10322 0.567648 -0.0093636 0.46 
180 19.7316 11.9133 0.560924 0.00162486 0.46 
181 27.9681 2.30667 0.459107 -0.00622312 0.46 
182 27.4422 9.5112 0.547456 0.0184767 0.46 
183 8.24875 12.2351 0.537342 0.00545458 0.46 
184 8.4456 18.3351 0.479437 0.00250099 0.46 
185 21.177 20.4064 0.326575 -0.055686 0.46 
186 26.7151 12.1197 0.555745 0.0322183 0.46 
187 26.6239 5.05349 0.526608 0.0349696 0.46 
188 0.0170189 10.035 0.548747 0.0192904 0.46 
189 18.021 5.09527 0.567595 0.0480443 0.46 
190 2.62745 14.9245 0.527008 0.00878375 0.46 
191 22.4599 15.7821 0.562172 0.0150014 0.46 
192 21.0237 1.72534 0.405885 0.0310326 0.46 
193 21.5598 17.4423 0.532512 -0.0428943 0.46 
194 14.6322 5.73106 0.566929 -0.0101462 0.46 
195 26.3745 3.93448 0.526415 0.0390157 0.46 
196 18.3622 17.8983 0.512885 -0.0398126 0.46 
197 21.022 13.0356 0.569965 0.00759232 0.46 
198 25.5448 6.17053 0.526842 0.027322 0.46 
199 9.10925 18.5862 0.468609 -0.00169401 0.46 
200 24.2059 17.3713 0.528147 0.0376064 0.46 
201 8.4886 0.575108 0.146484 0.0418616 0.46 
202 5.55255 1.74689 0.517034 -0.00797085 0.46 
203 13.1241 5.26916 0.565298 0.00961538 0.46 
204 18.3164 15.4897 0.534572 -0.0426906 0.46 
205 0.919335 5.34063 0.510316 0.00909848 0.46 
206 24.8282 4.23628 0.524479 0.0215619 0.46 
207 0.864586 10.2303 0.548679 0.017631 0.46 
208 16.4038 9.60039 0.544963 -0.00886163 0.46 
209 20.1189 0.565722 0.213388 -0.00545319 0.46 
210 3.39401 18.9701 0.466581 -0.0617724 0.46 
211 23.4554 11.9321 0.60214 0.0534741 0.46 
212 18.1881 21.4589 0.210793 0.0174669 0.46 
213 9.62986 19.2575 0.468698 0.00282906 0.46 
214 10.1353 21.8131 0.117958 -0.00272154 0.46 
215 24.6573 20.261 0.307885 0.036746 0.46 
216 11.3162 11.4287 0.542811 -0.00173661 0.46 
217 17.4537 19.5735 0.495396 -0.0349707 0.46 
218 11.4136 0.555818 0.326619 -0.00276647 0.46 
219 14.2078 1.89737 0.48735 0.0196453 0.46 
220 16.5581 12.247 0.541187 -0.0215804 0.46 
221 2.2125 15.0458 0.524567 0.0100441 0.46 
222 24.6191 0.176966 0.120719 -0.00917656 0.46 
223 7.24981 7.56311 0.525335 -0.00739031 0.46 
224 17.8904 19.5627 0.489021 -0.00594002 0.46 
225 27.1722 13.2522 0.535441 0.0413837 0.46 
226 15.618 15.5607 0.511534 -0.0255799 0.46 
227 4.57692 2.10654 0.460924 0.004644 0.46 
228 9.00231 20.5883 0.359144 0.0479224 0.46 
229 1.23012 18.3477 0.486425 0.0614089 0.46 
230 4.93597 16.6123 0.518619 -0.0144048 0.46 
231 27.8878 3.46838 0.497345 0.0142481 0.46 
232 3.8058 5.81494 0.508372 -0.00211205 0.46 
233 7.58149 15.1664 0.51624 0.0252464 0.46 
234 3.41733 13.4212 0.549548 0.0238651 0.46 
235 2.10725 13.3519 0.553197 0.0180244 0.46 
236 25.8994 3.20905 0.53445 0.0391028 0.46 
237 1.1439 0.98078 0.38111 0.007763 0.46 
238 2.96356 7.11833 0.540571 0.0273591 0.46 
239 20.0995 2.88979 0.490429 0.0349329 0.46 
240 3.5975 13.0097 0.544054 0.0202249 0.46 
241 13.8386 16.9007 0.519236 0.0220604 0.46 
242 1.91146 14.7402 0.52808 0.0125787 0.46 
243 0.165677 10.4649 0.551317 0.0207031 0.46 
244 7.93003 11.5564 0.538366 0.00633992 0.46 
245 4.48369 6.14384 0.505742 0.0178922 0.46 
246 24.1793 21.035 0.232492 0.0209796 0.46 
247 27.8173 13.83 0.534587 0.0323157 0.46 
248 13.8013 15.1582 0.524103 0.00074665 0.46 
249 1.99177 5.31057 0.511271 0.00758582 0.46 
250 13.1194 6.04286 0.572742 0.00399738 0.46 
251 12.3747 20.2283 0.469855 0.000452333 0.46 
252 11.567 6.40118 0.555056 -0.0404159 0.46 
253 0.241461 2.66931 0.466606 0.00305317 0.46 
254 7.70436 9.57351 0.542105 -0.000108961 0.46 
255 6.26669 2.11736 0.52018 -0.066493 0.46 
256 25.3171 6.53298 0.528948 0.0252342 0.46 
257 25.5144 6.93866 0.531289 0.0263818 0.46 
258 4.52915 10.6308 0.54261 0.0141369 0.46 
259 8.77283 21.8146 0.16364 0.0243059 0.46 
260 2.13397 8.14919 0.545204 0.0134758 0.46 
261 18.0547 3.28043 0.55434 -0.0306348 0.46 
262 20.5605 10.7425 0.558462 0.00922132 0.46 
263 13.5447 9.11062 0.548242 -0.0103094 0.46 
264 5.99878 7.13251 0.52148 -0.00333452 0.46 
265 8.30996 19.5156 0.463298 0.0147055 0.46 
266 12.7535 17.4682 0.525725 0.0168022 0.46 
267 21.8764 0.545991 0.248506 0.0057363 0.46 
268 1.00954 18.711 0.48709 0.0728639 0.46 
269 12.7784 13.2797 0.537611 -0.0041559 0.46 
270 11.6133 10.904 0.546611 -0.0100846 0.46 
271 0.0321581 12.9363 0.537332 0.0353591 0.46 
272 13.3137 7.96456 0.551416 -0.0110842 0.46 
273 8.31176 15.6683 0.520709 -0.00954414 0.46 
274 17.9144 15.6653 0.530384 -0.0479787 0.46 
275 20.1867 1.75846 0.431905 0.0435601 0.46 
276 22.9167 2.16683 0.358653 0.0140861 0.46 
277 2.41878 18.5109 0.493008 -0.0346014 0.46 
278 9.83148 13.9052 0.543238 0.00234898 0.46 
279 13.332 10.2445 0.544862 -0.0085426 0.46 
280 27.1622 8.65525 0.545571 0.0143554 0.46 
281 13.9981 1.49773 0.443046 0.0285877 0.46 
282 1.26433 15.7555 0.513465 0.0146394 0.46 
283 19.6953 21.0394 0.266496 -0.0282321 0.46 
284 3.66041 20.2865 0.278814 0.0506583 0.46 
285 11.1812 17.3935 0.515411 0.00371127 0.46 
286 18.2258 11.0804 0.545493 -0.00713708 0.46 
287 1.98587 11.2816 0.546278 0.018129 0.46 
288 13.7657 6.45724 0.56594 -0.00492294 0.46 
289 12.5446 0.989097 0.342151 0.0746709 0.46 
290 27.0629 5.04232 0.527042 0.0333222 0.46 
291 10.447 5.33935 0.516833 -0.00838212 0.46 
292 21.2179 7.19912 0.550741 -0.00347201 0.46 
293 0.85876 13.0622 0.549698 -0.00231181 0.46 
294 26.7421 8.55291 0.54624 0.0179419 0.46 
295 25.4684 3.20218 0.539235 0.0338023 0.46 
296 15.5854 16.0013 0.513088 -0.0253325 0.46 
297 10.5759 17.8962 0.501304 -0.00411324 0.46 
298 16.2754 0.175429 0.167425 -0.00472416 0.46 
299 5.90293 14.36 0.531461 0.00876844 0.46 
300 10.7216 8.24612 0.545209 -0.0143007 0.46 
301 27.8679 7.27295 0.563887 0.0179372 0.46 
302 19.1467 6.24617 0.5549 0.0257901 0.46 
303 11.7622 7.47488 0.544436 -0.0166202 0.46 
304 22.7638 0.55596 0.233718 -0.0126596 0.46 
305 27.3114 11.4722 0.555449 0.0293806 0.46 
306 23.0274 6.92698 0.54208 0.0295123 0.46 
307 19.1741 14.3061 0.550929 -0.0222927 0.46 
308 0.86516 7.87413 0.550166 0.0151928 0.46 
309 8.84487 14.0561 0.531354 0.000130082 0.46 
310 10.5359 11.9562 0.539204 0.00116396 0.46 
311 0.00387503 6.53578 0.523927 0.0356697 0.46 
312 6.58067 18.6771 0.461695 0.0115391 0.46 
313 1.29417 7.96353 0.544821 0.0123671 0.46 
314 15.7755 3.91141 0.554938 -0.0157211 0.46 
315 11.542 9.47392 0.545858 -0.0116367 0.46 
316 23.0576 4.08888 0.530758 -0.00772137 0.46 
317 14.763 12.9377 0.539214 -0.0101037 0.46 
318 1.27941 14.1526 0.535736 0.0122625 0.46 
319 18.8469 0.988563 0.461731 -0.00327234 0.46 
320 4.24732 17.627 0.503283 -0.0197815 0.46 
321 15.0662 2.04653 0.472592 -0.00239181 0.46 
322 11.3087 12.8332 0.539132 -0.000132931 0.46 
323 4.8525 0.18093 0.210116 0.00201169 0.46 
324 14.9648 21.0482 0.269924 0.0102081 0.46 
325 23.5722 16.034 0.561309 0.0396724 0.46 
326 9.53774 18.4975 0.475045 -0.00510602 0.46 
327 8.15815 13.5401 0.531424 0.00649714 0.46 
328 3.04742 14.8063 0.530023 0.009095 0.46 
329 13.1079 9.09561 0.548405 -0.00987668 0.46 
330 17.1776 21.0759 0.249859 0.0145652 0.46 
331 26.3737 18.0535 0.484705 0.0760765 0.46 
332 25.8591 11.9323 0.556612 0.0268589 0.46 
333 6.71694 20.2795 0.301225 -0.0175498 0.46 
334 18.2708 20.2998 0.39019 0.0389845 0.46 
335 18.6942 5.48046 0.552837 0.0341921 0.46 
336 19.9377 4.00405 0.513951 0.0180128 0.46 
337 5.12831 13.4054 0.528006 0.0182424 0.46 
338 6.96346 8.68777 0.543078 0.000246243 0.46 
339 3.065 2.43566 0.493399 0.0196648 0.46 
340 7.04231 14.1465 0.528543 0.0214277 0.46 
341 22.3176 0.547096 0.240758 -0.000144602 0.46 
342 12.2347 8.31794 0.54853 -0.00935702 0.46 
343 24.5683 0.98912 0.390687 -0.00978747 0.46 
344 24.2894 9.85108 0.557914 0.0157563 0.46 
345 14.8625 19.8529 0.575739 0.0316471 0.46 
346 25.4524 1.34045 0.445391 -0.0193858 0.46 
347 1.94553 12.9526 0.578935 0.0117844 0.46 
348 0.240643 15.2998 0.525574 0.0228054 0.46 
349 0.958422 6.38544 0.549928 0.0256775 0.46 
350 18.714 20.3267 0.404928 0.00204321 0.46 
351 14.5173 21.0584 0.285693 0.0378138 0.46 
352 13.1105 0.610852 0.306196 0.0558541 0.46 
353 11.3041 21.1058 0.374252 0.00746364 0.46 
354 1.73526 3.2669 0.469848 0.00755701 0.46 
355 11.5863 10.3145 0.54719 -0.00604189 0.46 
356 2.54331 11.7973 0.543063 0.0188243 0.46 
357 13.3446 15.146 0.526573 0.00236676 0.46 
358 27.585 8.75495 0.544926 0.0160081 0.46 
359 20.349 3.25857 0.505974 0.0259298 0.46 
360 5.13239 4.70105 0.519323 0.00155624 0.46 
361 13.5546 2.22332 0.500743 0.0625784 0.46 
362 25.4699 17.4742 0.502658 0.0709395 0.46 
363 6.69026 13.0386 0.536079 0.0152614 0.46 
364 19.7856 6.64123 0.557458 0.014392 0.46 
365 22.4901 14.9128 0.569871 0.0179411 0.46 
366 13.4531 12.9106 0.53835 -0.00659509 0.46 
367 27.83 15.4411 0.525097 0.0290873 0.46 
368 8.26362 18.7852 0.454837 0.0268454 0.46 
369 22.8426 4.45573 0.532325 -0.00864565 0.46 
370 7.86929 21.8225 0.192295 -0.00742502 0.46 
371 17.8337 3.65576 0.560658 -0.0384 0.46 
372 7.87203 4.58046 0.520795 -0.0362743 0.46 
373 11.7458 20.6509 0.460913 -0.0105253 0.46 
374 23.9935 10.5701 0.563918 0.00940438 0.46 
375 22.8402 5.22311 0.537982 -0.00536709 0.46 
376 25.2739 4.27292 0.523768 0.0299043 0.46 
377 10.0529 13.0548 0.537231 -0.00153509 0.46 
378 22.7269 19.8946 0.337577 -0.015489 0.46 
379 18.1171 17.1992 0.521989 -0.0566578 0.46 
380 15.9102 16.6383 0.518215 -0.0400826 0.46 
381 12.6761 14.8105 0.53469 0.00110547 0.46 
382 25.5097 4.65553 0.523402 0.0325506 0.46 
383 13.0536 19.8727 0.433739 -0.0276381 0.46 
384 27.0153 15.7133 0.533425 0.0495788 0.46 
385 10.6977 3.86467 0.515392 -0.00484996 0.46 
386 14.1951 8.00054 0.553526 -0.0115582 0.46 
387 18.2911 13.0513 0.553114 -0.0224973 0.46 
388 12.4586 10.2259 0.544151 -0.00739482 0.46 
389 6.55559 9.76406 0.542463 0.00969474 0.46 
390 24.8768 6.48207 0.528693 0.0225673 0.46 
391 5.13458 16.9814 0.500096 -0.0114948 0.46 
392 8.3893 6.31713 0.521853 -0.0164372 0.46 
393 12.4527 7.1772 0.547715 -0.0116382 0.46 
