ITEM: TIMESTEP
300000
ITEM: NUMBER OF ATOMS
3689
ITEM: BOX BOUNDS pp ff pp
0.0000000000000000e+00 2.8000000000000000e+01
-5.0000000000000000e+00 2.7000000000000000e+01
-1.0000000000000000e+00 1.0000000000000000e+00
ITEM: ATOMS id x y vx vy diameter 
327 15.0411 13.9222 0.776696 -0.0158875 0.46 
328 9.37541 14.9416 0.79232 0.0138194 0.46 
329 19.9301 9.185 0.80565 -0.0151139 0.46 
330 16.3332 21.0532 0.295394 -0.00941013 0.46 
331 1.78746 18.5566 0.664216 0.040486 0.46 
332 4.76064 11.8835 0.793475 0.0215598 0.46 
333 6.3057 20.252 0.511692 0.0316487 0.46 
334 16.6245 20.6422 0.376183 -0.00347105 0.46 
335 24.3778 5.56983 0.749383 0.00186692 0.46 
336 24.0802 4.03191 0.697682 9.80664e-05 0.46 
337 12.2174 13.6368 0.775507 0.00635715 0.46 
338 13.8994 8.74677 0.770934 -0.0023048 0.46 
339 6.39601 3.01638 0.62986 0.022522 0.46 
340 13.821 14.0122 0.774896 -0.0173675 0.46 
341 22.4488 0.576722 0.21844 0.0104345 0.46 
342 18.7962 8.24219 0.789739 -0.0274452 0.46 
343 26.2921 1.37409 0.360913 0.021623 0.46 
344 3.24567 9.89538 0.795552 0.030627 0.46 
345 16.9326 19.3888 0.564819 0.0145746 0.46 
346 27.1105 1.31189 0.362383 0.0195824 0.46 
347 8.5481 12.9455 0.800288 0.0193022 0.46 
348 6.26995 15.4248 0.763051 0.0244317 0.46 
349 7.43802 6.65614 0.750133 0.0247277 0.46 
350 15.1117 21.0684 0.303328 0.0303309 0.46 
351 13.478 21.0384 0.230039 0.0287831 0.46 
352 11.2739 0.568366 0.183842 -0.000129404 0.46 
353 10.019 21.0984 0.267407 0.0157474 0.46 
354 5.0884 3.40447 0.66534 4.69039e-05 0.46 
355 18.4584 10.4655 0.799712 -0.0240168 0.46 
356 9.50132 12.0441 0.79276 0.0153899 0.46 
357 19.5401 14.9644 0.769834 -0.0191115 0.46 
358 6.70675 9.36195 0.783856 0.026232 0.46 
